MSTY,,,,,,,,
Starting Balance,1000,,,,,36,27.14,977.04
Remainder,22.96,,,,,3,29.57,88.71
Price Jan 2025,27.14,,,,,3,24.75,74.25
Shares_Held,36,,,,,3,19.65,58.95
Open_Price_Jan,27.14,,,,,3,18.86,56.58
Current_Price,21.54,,,,,4,23.83,95.32
Distro_Date_1,1/17/2025,,,,,,,
Distro_1,2.279,82.044,105.004,,,,,
Open_Price_D1,29.57,3,16.294,,,,,
Distro_Date_2,2/14/2025,,,,,,Cost,1000
Distro_2,2.022,78.858,95.152,,,,Shares,52
Open_Price_D2,24.75,3,20.902,,,,Current Price,21.54
Distro_Date_3,3/14/2025,,,,,,Value,1120.08
Distro_3,1.378,53.742,74.644,,,,Dividends,359.295
Open_Price_D3,19.65,3,15.694,,,,Yield,334%
Distro_Date_4,4/11/2025,,,,,,ROI,24.02%
Distro_4,1.336,52.104,67.798,,,,,
Open_Price_D4,18.86,3,11.218,,,,,
Distro_Date_5,5/9/2025,,,,,,,
Distro_5,2.373,92.547,103.765,,,,,
Open_Price_D5,23.83,4,8.445,,,,,
